_ID,TITLE,ISSUINGORGANIZATION,CERTIFICATE_ID,ISSUANCEDATE,EXPIRATIONDATE,DESCRIPTION,EMP_ID,APPROVAL,__V
660f8d63cf56a208f379b447,Adaptability,Ritter-Bender,9a287a1c-bd2d-49c7-a29f-8a18363c3f14,2013-03-03 00:00:00,2024-04-10 00:00:00,Make thing social bill resource region for.,EMP_1,Rejected,0
660f8d63cf56a208f379b448,Time Management,"Miller, Holmes and Lewis",050029e5-ee06-4ee1-b0aa-c6f85e529783,1975-06-07 00:00:00,2024-04-24 00:00:00,Large you hour arm material.,EMP_2,Approved,0
660f8d63cf56a208f379b449,Hibernate,Rosario PLC,d9c50ff7-f7fa-4ef9-96af-1ecdd8e0ef87,1977-05-05 00:00:00,2024-05-02 00:00:00,Idea security return especially safe particularly.,EMP_3,Approved,0
660f8d63cf56a208f379b44a,HTML/CSS,"Lewis, Norman and Alvarado",045d4006-a4d6-497a-af3c-33782e916311,1983-09-30 00:00:00,2024-05-03 00:00:00,Something marriage responsibility black lead.,EMP_4,Rejected,0
660f8d63cf56a208f379b44b,Natural Language Processing (NLP),Gill-Velazquez,77d1ec39-0b57-4808-af72-8dd2e897ec79,1993-01-12 00:00:00,2024-04-07 00:00:00,Report reveal best they party fire.,EMP_5,Approved,0
660f8d63cf56a208f379b44c,Figma,Hendricks Group,cdae4605-1144-4954-be23-ce6d2bfbd9a8,1990-09-28 00:00:00,2024-04-14 00:00:00,Base cultural clear list.,EMP_6,Rejected,0
660f8d63cf56a208f379b44d,Adobe XD,Finley-Burke,a25bfbbe-2405-427b-bb6a-51efcbab75b1,1996-07-23 00:00:00,2024-04-29 00:00:00,Discussion reach minute star quite structure point.,EMP_7,Approved,0
660f8d63cf56a208f379b44e,Java,"Ramos, Johnson and Smith",670a1739-2ce1-45e7-9038-7adfe4757e78,1970-10-14 00:00:00,2024-04-08 00:00:00,Even enter indeed mention feel check race choice.,EMP_8,Rejected,0
660f8d63cf56a208f379b44f,TensorFlow,Nelson-Fisher,281c35f5-3d1f-4053-8cb4-855ba27b8a5b,1983-02-25 00:00:00,2024-04-30 00:00:00,Woman allow back run product institution teach.,EMP_9,Approved,0
660f8d63cf56a208f379b450,Time Management,"Greer, Gomez and Wilson",4b62f436-47bc-47d8-8e09-1f4978bc6033,1995-12-15 00:00:00,2024-05-02 00:00:00,Serious eight it find left.,EMP_10,Approved,0
660f8d63cf56a208f379b451,Django,Fuller PLC,150873e2-b4eb-4c4d-ae9f-f211b5f0ad68,2014-01-24 00:00:00,2024-04-23 00:00:00,Gas there according Mrs despite foreign.,EMP_11,Approved,0
660f8d63cf56a208f379b452,SQL,"Wood, Kim and Mccarty",c4bc0099-14f1-4e8a-bbc7-f877ddf94816,1980-06-12 00:00:00,2024-04-21 00:00:00,Particularly machine important.,EMP_12,Rejected,0
660f8d63cf56a208f379b453,Firebase,Williams Inc,cbd6840c-b33f-4e8b-a09d-9980d49c9893,1971-03-19 00:00:00,2024-05-03 00:00:00,Near prevent performance garden accept end.,EMP_13,Approved,0
660f8d63cf56a208f379b454,PostgreSQL,"Young, Daniels and Jones",542af881-02b0-47b2-bcfc-fc65285687b6,1988-12-15 00:00:00,2024-04-27 00:00:00,Smile word evening nor amount decision sell south.,EMP_14,Approved,0
660f8d63cf56a208f379b455,Scikit-learn,"Brooks, Carter and Navarro",2566bd3b-41a5-4f5d-88bd-c81ff8920d11,2004-11-18 00:00:00,2024-04-13 00:00:00,Agree staff thus be.,EMP_15,Rejected,0
660f8d63cf56a208f379b456,RESTful APIs,Wood-Lang,ed441c55-cd29-4098-9758-cf4f03009c3c,2005-08-19 00:00:00,2024-04-27 00:00:00,Picture Republican race worker.,EMP_16,Approved,0
660f8d63cf56a208f379b457,Android Studio,Garcia Group,55830c25-6dbc-4505-9f2e-ea798a10bfd8,1994-06-26 00:00:00,2024-04-25 00:00:00,Matter manage wall institution pressure about.,EMP_17,Rejected,0
660f8d63cf56a208f379b458,Creativity and Innovation,"Palmer, Richard and Alvarado",d5b2612e-07be-4bbe-987b-6051f8708967,1984-09-30 00:00:00,2024-04-13 00:00:00,Different music direction economic consider fund.,EMP_18,Rejected,0
660f8d63cf56a208f379b459,Kubernetes,Roberts Inc,b30362f5-5ab6-4d60-bff2-a558ab41568a,1970-06-12 00:00:00,2024-04-26 00:00:00,Report employee material picture.,EMP_19,Rejected,0
660f8d63cf56a208f379b45a,Selenium,Holmes PLC,931855b6-d936-43f3-988e-8cb182831d72,1992-02-02 00:00:00,2024-04-30 00:00:00,Choose light from particular wear sense brother.,EMP_20,Approved,0
660f8d63cf56a208f379b45b,Leadership Abilities,Murphy-Harris,d118e028-108e-4394-9014-da36c1b587b0,1981-01-15 00:00:00,2024-04-25 00:00:00,Much raise believe far recently hold.,EMP_21,Approved,0
660f8d63cf56a208f379b45c,Google Cloud Platform,Lee Group,ca5e3c97-1b70-44c5-b7db-2f6b748f1181,1979-09-24 00:00:00,2024-04-29 00:00:00,Memory blood develop.,EMP_22,Approved,0
660f8d63cf56a208f379b45d,Selenium,Miller and Sons,0a05335a-b83f-41f8-92c7-43dcac9e2ab3,1987-06-05 00:00:00,2024-05-02 00:00:00,National although line.,EMP_23,Rejected,0
660f8d63cf56a208f379b45e,Leadership Abilities,"Richards, Kennedy and Bowen",54d083df-7830-4f0c-8249-1dafcee9c3f0,2018-09-10 00:00:00,2024-04-26 00:00:00,Force yourself environmental indicate.,EMP_24,Rejected,0
660f8d63cf56a208f379b45f,Python,Buchanan-Burton,383eb4b9-579b-4f28-9937-d19649a14f7a,1995-02-22 00:00:00,2024-05-04 00:00:00,Technology research cup but police little result.,EMP_25,Rejected,0
