,Empid,certificateName,issuingOrganization,issuanceDate,expirationDate,certificate_id,description,approval
0,EMP_1,Adaptability,Ritter-Bender,2013-03-03,2024-04-10,9a287a1c-bd2d-49c7-a29f-8a18363c3f14,Make thing social bill resource region for.,Rejected
1,EMP_2,Time Management,"Miller, Holmes and Lewis",1975-06-07,2024-04-24,050029e5-ee06-4ee1-b0aa-c6f85e529783,Large you hour arm material.,Approved
2,EMP_3,Hibernate,Rosario PLC,1977-05-05,2024-05-02,d9c50ff7-f7fa-4ef9-96af-1ecdd8e0ef87,Idea security return especially safe particularly.,Approved
3,EMP_4,HTML/CSS,"Lewis, Norman and Alvarado",1983-09-30,2024-05-03,045d4006-a4d6-497a-af3c-33782e916311,Something marriage responsibility black lead.,Rejected
4,EMP_5,Natural Language Processing (NLP),Gill-Velazquez,1993-01-12,2024-04-07,77d1ec39-0b57-4808-af72-8dd2e897ec79,Report reveal best they party fire.,Approved
5,EMP_6,Figma,Hendricks Group,1990-09-28,2024-04-14,cdae4605-1144-4954-be23-ce6d2bfbd9a8,Base cultural clear list.,Rejected
6,EMP_7,Adobe XD,Finley-Burke,1996-07-23,2024-04-29,a25bfbbe-2405-427b-bb6a-51efcbab75b1,Discussion reach minute star quite structure point.,Approved
7,EMP_8,Java,"Ramos, Johnson and Smith",1970-10-14,2024-04-08,670a1739-2ce1-45e7-9038-7adfe4757e78,Even enter indeed mention feel check race choice.,Rejected
8,EMP_9,TensorFlow,Nelson-Fisher,1983-02-25,2024-04-30,281c35f5-3d1f-4053-8cb4-855ba27b8a5b,Woman allow back run product institution teach.,Approved
9,EMP_10,Time Management,"Greer, Gomez and Wilson",1995-12-15,2024-05-02,4b62f436-47bc-47d8-8e09-1f4978bc6033,Serious eight it find left.,Approved
10,EMP_11,Django,Fuller PLC,2014-01-24,2024-04-23,150873e2-b4eb-4c4d-ae9f-f211b5f0ad68,Gas there according Mrs despite foreign.,Approved
11,EMP_12,SQL,"Wood, Kim and Mccarty",1980-06-12,2024-04-21,c4bc0099-14f1-4e8a-bbc7-f877ddf94816,Particularly machine important.,Rejected
12,EMP_13,Firebase,Williams Inc,1971-03-19,2024-05-03,cbd6840c-b33f-4e8b-a09d-9980d49c9893,Near prevent performance garden accept end.,Approved
13,EMP_14,PostgreSQL,"Young, Daniels and Jones",1988-12-15,2024-04-27,542af881-02b0-47b2-bcfc-fc65285687b6,Smile word evening nor amount decision sell south.,Approved
14,EMP_15,Scikit-learn,"Brooks, Carter and Navarro",2004-11-18,2024-04-13,2566bd3b-41a5-4f5d-88bd-c81ff8920d11,Agree staff thus be.,Rejected
15,EMP_16,RESTful APIs,Wood-Lang,2005-08-19,2024-04-27,ed441c55-cd29-4098-9758-cf4f03009c3c,Picture Republican race worker.,Approved
16,EMP_17,Android Studio,Garcia Group,1994-06-26,2024-04-25,55830c25-6dbc-4505-9f2e-ea798a10bfd8,Matter manage wall institution pressure about.,Rejected
17,EMP_18,Creativity and Innovation,"Palmer, Richard and Alvarado",1984-09-30,2024-04-13,d5b2612e-07be-4bbe-987b-6051f8708967,Different music direction economic consider fund.,Rejected
18,EMP_19,Kubernetes,Roberts Inc,1970-06-12,2024-04-26,b30362f5-5ab6-4d60-bff2-a558ab41568a,Report employee material picture.,Rejected
19,EMP_20,Selenium,Holmes PLC,1992-02-02,2024-04-30,931855b6-d936-43f3-988e-8cb182831d72,Choose light from particular wear sense brother.,Approved
20,EMP_21,Leadership Abilities,Murphy-Harris,1981-01-15,2024-04-25,d118e028-108e-4394-9014-da36c1b587b0,Much raise believe far recently hold.,Approved
21,EMP_22,Google Cloud Platform,Lee Group,1979-09-24,2024-04-29,ca5e3c97-1b70-44c5-b7db-2f6b748f1181,Memory blood develop.,Approved
22,EMP_23,Selenium,Miller and Sons,1987-06-05,2024-05-02,0a05335a-b83f-41f8-92c7-43dcac9e2ab3,National although line.,Rejected
23,EMP_24,Leadership Abilities,"Richards, Kennedy and Bowen",2018-09-10,2024-04-26,54d083df-7830-4f0c-8249-1dafcee9c3f0,Force yourself environmental indicate.,Rejected
